TransId;OcrCode;OcrName;PrcCode;PrcName;AcctCode;AcctName;DocNum;FolioNum;RefDate;TaxDate;DueDate;CardCode;CardName;Total;Line_ID
6,294;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000083;Sales Revenues - Services (HO, USA, GA );6294;?;Jan 15, 2025 12:00:00.0 AM;Jan 15, 2025 12:00:00.0 AM;Jan 15, 2025 12:00:00.0 AM;NA;?;41,755.8;4
6,294;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000226;Leave with Revenue (HO, USA, GA);6294;?;Jan 15, 2025 12:00:00.0 AM;Jan 15, 2025 12:00:00.0 AM;Jan 15, 2025 12:00:00.0 AM;NA;?;15,389.1;10
6,294;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000102;Payroll Expense - Direct Labor Cost (HO, USA, GA );6294;?;Jan 15, 2025 12:00:00.0 AM;Jan 15, 2025 12:00:00.0 AM;Jan 15, 2025 12:00:00.0 AM;NA;?;-6,899.25;32
6,294;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000114;Telephone (HO, USA, GA );6294;?;Jan 15, 2025 12:00:00.0 AM;Jan 15, 2025 12:00:00.0 AM;Jan 15, 2025 12:00:00.0 AM;NA;?;-4,755.75;46
6,294;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000126;Depreciation - Computer Hardware (HO, USA, GA );6294;?;Jan 15, 2025 12:00:00.0 AM;Jan 15, 2025 12:00:00.0 AM;Jan 15, 2025 12:00:00.0 AM;NA;?;-6,927.6;59
6,294;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000138;Management Consulting Fees (HO, USA, GA );6294;?;Jan 15, 2025 12:00:00.0 AM;Jan 15, 2025 12:00:00.0 AM;Jan 15, 2025 12:00:00.0 AM;NA;?;-6,707.85;77
6,294;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000148;Translation Gain (HO, USA, GA );6294;?;Jan 15, 2025 12:00:00.0 AM;Jan 15, 2025 12:00:00.0 AM;Jan 15, 2025 12:00:00.0 AM;NA;?;-6,002.85;89
6,295;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000083;Sales Revenues - Services (HO, USA, GA );6295;?;Feb 15, 2025 12:00:00.0 AM;Feb 15, 2025 12:00:00.0 AM;Feb 15, 2025 12:00:00.0 AM;NA;?;33,893.1;4
6,295;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000088;COGS - Domestic (HO, USA, GA );6295;?;Feb 15, 2025 12:00:00.0 AM;Feb 15, 2025 12:00:00.0 AM;Feb 15, 2025 12:00:00.0 AM;NA;?;-7,284.15;13
6,295;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000104;Payroll Expense - Vacation (HO, USA, GA );6295;?;Feb 15, 2025 12:00:00.0 AM;Feb 15, 2025 12:00:00.0 AM;Feb 15, 2025 12:00:00.0 AM;NA;?;-5,029.65;34
6,295;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000106;Payroll Expense - Pension/401k (HO, USA, GA );6295;?;Feb 15, 2025 12:00:00.0 AM;Feb 15, 2025 12:00:00.0 AM;Feb 15, 2025 12:00:00.0 AM;NA;?;-6,366.9;36
6,295;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000114;Telephone (HO, USA, GA );6295;?;Feb 15, 2025 12:00:00.0 AM;Feb 15, 2025 12:00:00.0 AM;Feb 15, 2025 12:00:00.0 AM;NA;?;-5,494.35;46
6,295;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000118;Depreciation Expense (HO, USA, GA );6295;?;Feb 15, 2025 12:00:00.0 AM;Feb 15, 2025 12:00:00.0 AM;Feb 15, 2025 12:00:00.0 AM;NA;?;-7,132.8;50
6,295;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000221;Unplanned Depreciation (HO, USA, GA);6295;?;Feb 15, 2025 12:00:00.0 AM;Feb 15, 2025 12:00:00.0 AM;Feb 15, 2025 12:00:00.0 AM;NA;?;-4,963.65;60
6,296;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000214;Write-Offs (HO, USA, GA);6296;?;Mar 15, 2025 12:00:00.0 AM;Mar 15, 2025 12:00:00.0 AM;Mar 15, 2025 12:00:00.0 AM;NA;?;-7,481.25;39
6,296;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000112;Gas (HO, USA, GA );6296;?;Mar 15, 2025 12:00:00.0 AM;Mar 15, 2025 12:00:00.0 AM;Mar 15, 2025 12:00:00.0 AM;NA;?;-5,388.3;44
6,296;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000113;Water (HO, USA, GA );6296;?;Mar 15, 2025 12:00:00.0 AM;Mar 15, 2025 12:00:00.0 AM;Mar 15, 2025 12:00:00.0 AM;NA;?;-5,659.8;45
6,296;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000115;Insurance (HO, USA, GA );6296;?;Mar 15, 2025 12:00:00.0 AM;Mar 15, 2025 12:00:00.0 AM;Mar 15, 2025 12:00:00.0 AM;NA;?;-5,916.6;47
6,296;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000117;Other Administrative (HO, USA, GA );6296;?;Mar 15, 2025 12:00:00.0 AM;Mar 15, 2025 12:00:00.0 AM;Mar 15, 2025 12:00:00.0 AM;NA;?;-7,088.25;49
6,296;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000122;Depreciation - Leasehold Improvements (HO, USA, GA );6296;?;Mar 15, 2025 12:00:00.0 AM;Mar 15, 2025 12:00:00.0 AM;Mar 15, 2025 12:00:00.0 AM;NA;?;-6,703.65;55
6,296;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000123;Depreciation - Motor Vehicles (HO, USA, GA );6296;?;Mar 15, 2025 12:00:00.0 AM;Mar 15, 2025 12:00:00.0 AM;Mar 15, 2025 12:00:00.0 AM;NA;?;-5,657.55;56
6,296;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000131;Office Supplies (HO, USA, GA );6296;?;Mar 15, 2025 12:00:00.0 AM;Mar 15, 2025 12:00:00.0 AM;Mar 15, 2025 12:00:00.0 AM;NA;?;-6,919.2;69
6,297;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000227;FA Retirement Revenue (HO, USA, GA);6297;?;Apr 15, 2025 12:00:00.0 AM;Apr 15, 2025 12:00:00.0 AM;Apr 15, 2025 12:00:00.0 AM;NA;?;21,729;12
6,297;SALES_NR;SALES_NR;05_Mkt;Marketing;_SYS00000000098;Travel Expense - Entertainment (HO, USA, GA );6297;?;Apr 15, 2025 12:00:00.0 AM;Apr 15, 2025 12:00:00.0 AM;Apr 15, 2025 12:00:00.0 AM;NA;?;-6,388.95;28
