TransId;OcrCode;OcrName;PrcCode;PrcName;AcctCode;AcctName;DocNum;FolioNum;RefDate;TaxDate;DueDate;CardCode;CardName;Total;Line_ID
419.017;CIIC-206;Comercial - Ingred Ind Cárnica;CIIC-206;Comercial - Ingred Ind Cárnica;41351602;OTRAS MATERIAS PRIMAS SIN IVA;46008;?;3 feb. 2025 0:00:00.0;3 feb. 2025 0:00:00.0;3 mar. 2025 0:00:00.0;0910173;MARTINEZ DE MARTIN AMINTA;246.500;2
419.960;CM-216;Comercial - Maquinaria;CM-216;Comercial - Maquinaria;41355401;VENTA MAQUINARIA;46093;?;10 feb. 2025 0:00:00.0;10 feb. 2025 0:00:00.0;10 mar. 2025 0:00:00.0;0911104;MORANGO S.A.S.;21.281.889;5
420.287;TGFIN;Taussig/Finanzas;CIE-208;Comercial - Ingred y Espe;51352001;PROC. ELECTRONICO DATOS;74463;?;12 feb. 2025 0:00:00.0;4 feb. 2025 0:00:00.0;6 mar. 2025 0:00:00.0;830120205;SOLUCIONES INTEGRALES DE ARCHIVO E.U.;-190.973,068;3
420.287;TGFIN;Taussig/Finanzas;FIE-274;Fabril - Ingred y Espe;51352001;PROC. ELECTRONICO DATOS;74463;?;12 feb. 2025 0:00:00.0;4 feb. 2025 0:00:00.0;6 mar. 2025 0:00:00.0;830120205;SOLUCIONES INTEGRALES DE ARCHIVO E.U.;-46.861,672;3
420.287;TGFIN;Taussig/Finanzas;CEIC-211;Comercial-Empaques Ind Cárnica;51352001;PROC. ELECTRONICO DATOS;74463;?;12 feb. 2025 0:00:00.0;4 feb. 2025 0:00:00.0;6 mar. 2025 0:00:00.0;830120205;SOLUCIONES INTEGRALES DE ARCHIVO E.U.;-82.203,836;3
420.287;TGFIN;Taussig/Finanzas;FEIC;Fabril - Empaques Ind Cárnica;51352001;PROC. ELECTRONICO DATOS;74463;?;12 feb. 2025 0:00:00.0;4 feb. 2025 0:00:00.0;6 mar. 2025 0:00:00.0;830120205;SOLUCIONES INTEGRALES DE ARCHIVO E.U.;-259.149,748;3
420.287;TGFIN;Taussig/Finanzas;CIIC-206;Comercial - Ingred Ind Cárnica;51352001;PROC. ELECTRONICO DATOS;74463;?;12 feb. 2025 0:00:00.0;4 feb. 2025 0:00:00.0;6 mar. 2025 0:00:00.0;830120205;SOLUCIONES INTEGRALES DE ARCHIVO E.U.;-26.330,304;3
420.287;TGFIN;Taussig/Finanzas;FIIC-272;Fabril - Ingred Ind Cárnica;51352001;PROC. ELECTRONICO DATOS;74463;?;12 feb. 2025 0:00:00.0;4 feb. 2025 0:00:00.0;6 mar. 2025 0:00:00.0;830120205;SOLUCIONES INTEGRALES DE ARCHIVO E.U.;-36.517,624;3
420.287;TGFIN;Taussig/Finanzas;CM-216;Comercial - Maquinaria;51352001;PROC. ELECTRONICO DATOS;74463;?;12 feb. 2025 0:00:00.0;4 feb. 2025 0:00:00.0;6 mar. 2025 0:00:00.0;830120205;SOLUCIONES INTEGRALES DE ARCHIVO E.U.;-69.430,504;3
420.287;TGFIN;Taussig/Finanzas;CST-217;Comercial - Servicio Téc Maq;51352001;PROC. ELECTRONICO DATOS;74463;?;12 feb. 2025 0:00:00.0;4 feb. 2025 0:00:00.0;6 mar. 2025 0:00:00.0;830120205;SOLUCIONES INTEGRALES DE ARCHIVO E.U.;-72.173,244;3
